problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
diffusion_affine_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0191937331110239,0.16254736388856098,0.10255760616527283,4.993591088144794e-07,137.25537710833652,23058.903354200535
diffusion_affine_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0345472060143947,0.2559590319703732,0.21535960166688503,4.911288033191514e-07,175.27246777440556,29445.77458610013
diffusion_affine_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0022751642391085,0.2846074370622989,0.41419881022346056,5.002804039393249e-07,83.51587789999931,14030.667487199884
diffusion_affine_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0023559143301099,0.2627889837479285,0.4979795223837414,6.027575580668824e-07,203.00071256666118,34104.11971119908
diffusion_affine_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0033245394006371,0.2735397398618737,0.48671403325804374,6.094822109860485e-07,635.3133828089201,106732.64831189858
diffusion_affine_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0168503243476152,0.2389310786522747,0.19316029059173398,7.26218699144608e-07,184.6986837047679,31029.378862401005
diffusion_affine_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0393045954406261,0.13662008797040293,0.05857735545537821,4.998105321787773e-07,208.96573685416453,35106.24379149964
diffusion_affine_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0566892027854919,0.40071488579823855,0.3131364264181141,4.948574189576166e-07,204.44306310356686,34346.43460139923
diffusion_affine_d8,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0023425337858498,0.2577499525117067,0.4994993491425961,7.050961590677963e-07,176.33597631487993,29624.444020899828
diffusion_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0023464087862521,0.28242205828982625,0.41059016397228754,4.996550593378266e-07,88.38978658035437,14849.484145499533
diffusion_affine_d8,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0034297963138669,0.26730541692813853,0.46414507972160807,6.362500763706131e-07,453.73821271547473,76228.01973619976
diffusion_affine_d8,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0132688619196414,0.23646666011994788,0.19768717881479508,7.92646265237874e-07,173.82363134880836,29202.370066599804
diffusion_affine_d8,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0423070862889289,0.14217874846820316,0.06040499027599954,4.997893840584852e-07,166.60472969524147,27989.594588800566
diffusion_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0424164161086082,0.39463934763556435,0.31796912154209184,4.935540127281087e-07,225.75934896190302,37927.57062559971
diffusion_log_d4,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0070769297890365,0.17385523314476897,0.3184093838156996,6.955307383583161e-07,202.70701666369027,34054.77879949997
diffusion_log_d4,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0075599402189254,0.17055524606257672,0.2615181332816598,7.61731178789389e-07,604.06761356845,101483.35907949961
diffusion_log_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0104848863556981,0.17311784631705707,0.23560647282396924,6.893154068707407e-07,181.3346965005947,30464.22901209991
diffusion_log_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0280637647956609,0.2399835404163847,0.2132193869412046,9.08017635346087e-07,185.49690266666516,31163.479647999746
diffusion_log_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.0463686995208263,0.17903081391982376,0.09670045367609363,5.021776474444821e-07,390.10431753095156,65537.52534519986
diffusion_log_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0548529177904129,0.31673490952345584,0.22712154172043217,4.996984902474889e-07,353.658655717865,59414.65416060132
diffusion_log_d4,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0069164591841399,0.16770133062631687,0.3110262148940553,6.907438907839085e-07,180.2542202648751,30282.70900449902
diffusion_log_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0087558990344405,0.18449397064701073,0.28676652578970846,7.372408432732278e-07,536.7091324089325,90167.13424470066
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0109315766021609,0.1675845294514493,0.23555842493965087,6.91854769199619e-07,161.253760485711,27090.63176159945
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0297228302806615,0.24192139221399664,0.20706472605624113,2.8690457762352363e-06,201.34867804880818,33826.57791219978
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0517245344817638,0.3045887604488858,0.2065920667967201,4.996848202511371e-07,344.1060484392829,57809.81613779953
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0519584268331527,0.18779939018367298,0.09830131763277257,5.040823807467816e-07,391.09354299702403,65703.71522350004
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0064067025668919,0.33393733931284036,0.3934560101532813,1.394593744697388e-06,190.069608038098,31931.694150400464
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0080014383420348,0.31009989170845415,0.48617678532928504,2.368940464575211e-06,203.87728005000446,34251.38304840075
diffusion_log_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.015218180604279,0.34619541802177467,0.464240728824839,1.8918738470845364e-06,605.7246688535712,101761.74436739995
diffusion_log_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0695441216230392,0.3175144414195702,0.16708185981464174,9.013569717402398e-06,194.03578725833393,32598.0122594001
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1215347200632095,0.2268427659180902,0.06026274389544241,8.396287496804603e-07,562.2629634898809,94460.17786629999
diffusion_log_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.1454178243875503,0.5034748263479698,0.27685733929400835,6.44125445468208e-07,467.2689444541701,78501.18266830058
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.006405830848962,0.33268867644004607,0.39046158838909323,1.3810319393044102e-06,173.3046712244042,29115.1847656999
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0073959780856966,0.3079649220869344,0.49473912286480126,2.533697933618636e-06,169.85301102261846,28535.3058517999
diffusion_log_d8,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0158499460667371,0.34606846182474066,0.45039546966119753,2.0948111566234557e-06,596.0836773398838,100142.05779310048
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0625969767570495,0.31973203870334793,0.17558909833942407,1.2823900522987298e-05,197.63130161250177,33202.0586709003
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.1225726604461669,0.22764994283871987,0.05809937678229285,8.4703044459881e-07,491.46584774047926,82566.26242040051
diffusion_log_d8,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.1285632103681564,0.48870680711808656,0.2809555460652347,6.41943011086845e-07,469.00134844940305,78792.22653949971
