problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
nsb_affine_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.1003469675779342,3.6099190734149444,5.918984644509909,4.995896358109132e-06,40.04063630595192,6726.826899399923
nsb_affine_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1066932827234268,3.421154030465654,4.582233817906003,4.995223754295217e-06,30.544458835116878,5131.469084299635
nsb_affine_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.1087038293480873,5.3399204562994695,8.112645751195867,4.940188746548388e-06,62.997247037498234,10583.537502299703
nsb_affine_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.1824362426996231,2.0450853298285177,1.5659058028117816,4.974036030381242e-06,2.1154081505963056,355.38856930017937
nsb_affine_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,1.3298040628433228,5.4268130369129635,3.9900433485756266,4.864766253831476e-06,19.3411384839277,3249.3112652998534
nsb_affine_d8,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0984464958310127,3.5449941342341758,6.04120769291977,4.994447627788239e-06,26.255014397023064,4410.8424186998745
nsb_affine_d8,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0985836535692215,0.3961317026544185,0.25777103861151884,4.947956280635221e-06,2.3906986678569715,401.6373761999712
nsb_affine_d8,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1068434342741966,3.3943444591991248,4.490773543631278,4.992740828345718e-06,20.429994176786273,3432.239021700094
nsb_affine_d8,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.1078599244356155,5.47690378683841,8.226449645818267,4.943319213777743e-06,41.56071507797649,6982.20013310005
nsb_affine_d8,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.1912939995527267,2.0383134659911906,1.667042951455152,4.979642632124956e-06,1.6749540184522456,281.39227509997727
nsb_affine_d8,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.6905364990234375,5.372986440857251,4.2455580272114535,4.880123767526086e-06,14.442241744642248,2426.2966130998975
nsb_log_d4,p,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0172267109155654,0.22970734736216916,0.4240465229068588,4.993608004475564e-06,13.550369457144587,2276.4620688002906
